androidNL,swingNL,javaNL,javascriptNL
-1262.4894136992548,-1706.7159912460493,-1704.8386929752962,-1530.37834892015
-1208.2347282473454,-1436.843118271283,-1909.0849805082435,-1182.4541068125566
-1443.719251142973,-1658.363110407372,-2017.7326138604055,-1422.8714391062151
-1374.4023480413102,-1565.1380494049172,-1759.496335392029,-1235.314220069578
-1376.0533537376805,-1381.3364904805344,-1741.0728000197767,-1583.2873884961282
-1416.7011133987194,-1705.6384237497682,-1483.2246462119674,-1414.6839620951996
-1395.2377486310984,-1610.7121908586862,-1913.5998134324623,-1377.5057658367914
-1486.443631509735,-1701.8509216275124,-1777.7671566643394,-1356.299695529695
-1327.0068223699868,-1434.464921311945,-1884.1766139146869,-1522.981223761025
-1518.4996435757225,-1765.7996198508918,-1747.3076295708051,-1508.3974766178776
-1411.3196701602906,-1529.1030552998127,-1776.4938921712176,-1281.3949940462749
-1524.5416844701635,-1606.4246125466366,-1575.9841188373084,-1596.929501960431
-1416.2309293415624,-1568.8300433156683,-1689.3581178699442,-1388.5150221185174
-1441.8478452541563,-1545.0827594702548,-1826.4080604925866,-1446.5682548210507
-1593.9657988044262,-1524.6682376897907,-1828.1657260827797,-1697.6726220822861
-1480.6008239925463,-1660.7316888443283,-1780.9652979148257,-1341.9570823796776
-1398.4947078641885,-1637.683046818317,-1610.8716077590766,-1420.9124885094727
-1410.7992678918215,-1781.092098665169,-1728.8244300041147,-1391.0262640062103
-1365.594551090901,-1480.601865091186,-1634.9502454970552,-1508.292050359691
-1459.851001537888,-1493.7900392436263,-1541.7186898922796,-1380.7955805045615
-1399.4941660394338,-1712.6974961264261,-1759.4517460951793,-1419.756972343485
-1367.6950201891268,-1652.071281791424,-1863.5393300986464,-1438.199615194918
-1321.105097641654,-1531.771953427502,-1726.0105821195973,-1419.416807181305
-1520.359770520516,-1878.8612135100507,-1805.6698198606427,-1148.5802441699498
-1279.2771671923424,-1792.6080944916612,-1906.8162596740176,-1329.0667283442795
-1589.7462664442064,-1645.2589588415817,-1614.8657633048363,-1378.655359803582
-1409.9745396898481,-1626.7298376483714,-1716.4749092549046,-1452.5388306835277
-1562.0334105452366,-1740.3559893716251,-1773.3033261935357,-1541.2558241175052
-1083.765212938132,-1638.389436724654,-1929.9366309012305,-1373.036123193426
-1420.6674614319973,-1768.405324473329,-1424.981351650668,-1626.6442251069066
-1443.696113988524,-1670.8211449832215,-1813.525216511892,-1470.223239505559
-1472.4272414777656,-1547.0677456194521,-1870.6511186916139,-1394.0002749141977
-1428.3725456692946,-1526.2874391540217,-1760.5888779997495,-1354.2423711426031
-1504.190801244258,-1504.6523483356432,-1771.5782506385647,-1616.7207212583398
-1268.6617319589755,-1525.7307546277084,-1520.5369745760286,-1343.4331229314907
-1501.5627522584305,-1481.2363763401863,-1819.9913222504556,-1178.3131495722937
-1412.4330430871094,-1615.249994211667,-1628.5663244953944,-1411.2969918268082
-1374.0283670316285,-1634.2373215930538,-1901.546886305968,-1548.234611622593
-1434.1493062202703,-1847.2719317560259,-1875.4535257188604,-1424.9289211942585
-1361.4070307734091,-1663.8922438125273,-1696.880042662086,-1226.4143226445308
-1260.7496166638207,-1527.598478565841,-1826.4063740186407,-1529.8924924652156
-1081.9960149968483,-1622.236514774808,-1603.4182894089868,-1320.558972694957
-1297.2616953009287,-1588.1971449222192,-1746.5210045188965,-1448.164908913821
-1456.2393771486459,-1436.604722509179,-1711.8960076524877,-1418.9976488126185
-1519.3330978727663,-1338.1674173132778,-1608.364629162818,-1231.1483343077578
-1332.7334195867784,-1644.259174765577,-1796.728852315447,-1257.1166894168257
-1272.0890221505165,-1589.7834065750405,-1668.2620169205697,-1419.5089799515376
-1221.1052706547289,-1546.6327107201682,-1828.199849899495,-1444.4407727416933
-1530.7635663214346,-1543.853478258362,-1584.1204575009515,-1454.00884962088
-1495.8113236174786,-1567.9118216035106,-1750.3949052964717,-1462.459004262407
-1545.707513980943,-1715.9767270944067,-1641.387163379779,-1316.3268022125478
-1240.2042109958259,-1459.6675696931466,-1783.8537274850833,-1222.6845631477402
-1538.624271086324,-1686.361489340463,-1697.5772429284375,-1538.8002398470057
-1347.1136527416743,-1403.460762223067,-1505.9131649004335,-1251.5535734311723
-1300.1560280852868,-1595.2985503067373,-1870.1754138633296,-1271.265773196201
-1436.4241306772064,-1813.2335861730546,-1643.5251462078309,-1382.7853216274875
-1233.0086717407307,-1340.204607358931,-1757.6634683813731,-1503.1336345284544
-1557.0032474727168,-1646.1825100554952,-1429.291233017197,-1387.071690777947
-1202.3858828192856,-1669.9694570082088,-1850.2330286606084,-1555.4071653249296
-1352.7068258163285,-1334.6276700382964,-1905.8485399371689,-1446.246252015594
-1339.0572573757,-1809.8301705172894,-1822.1703781499782,-1336.3664728836184
-1592.5625987464032,-1442.9726424403507,-1739.8707059485396,-1419.8017250084754
-1397.7819221285267,-1481.3624585069451,-1625.2456712615099,-1483.1146084391594
-1232.5491305413186,-1397.3757458385608,-1855.7845881796638,-1411.212091924922
-1240.9930886434224,-1637.1036696936908,-1637.7921725329588,-1462.735629803688
-1425.8337087939803,-1536.3801740174542,-1744.6243505676853,-1599.6316514269686
-1395.2556652915382,-1834.2934792889732,-1819.0930473601293,-1458.8590141847394
-1548.9752988564762,-1638.3842438131346,-1756.2609943917198,-1414.858509336031
-1365.3962389206247,-1507.7686175890744,-1452.8994316249532,-1528.713502154393
-1432.553944955614,-1602.2631212454814,-1744.4498441492808,-1469.3322001342362
-1573.781923239809,-1668.738627914299,-1533.8343096624874,-1672.3430390795713
-1469.1435208956982,-1516.250616565089,-1719.5933537044116,-1405.3060606653119
-1547.4039625199011,-1404.70365837658,-1903.738027207106,-1709.3883180441894
-1445.2018418536109,-1718.8989173010978,-2017.9725827551565,-1554.320049594412
-1292.327322645058,-1609.9105508682526,-1655.9439981496885,-1503.255954629146
-1361.8205226926145,-1475.1535450673493,-1973.5504843910007,-1496.5505149393998
-1440.0177769072313,-1544.0018396257315,-1841.2376193476898,-1326.0387843539127
-1111.5542154772525,-1370.7474665520867,-1612.770783209071,-1375.7010116663762
-1519.4268927477726,-1503.704357316768,-1850.6916608442666,-1354.3038439734414
-1583.841619350342,-1647.4156363678608,-1815.2730668075615,-1264.3762896939324
-1490.676630624859,-1301.4396679743172,-1819.624645212351,-1315.8268531730319
-1458.4471022408165,-1587.2977969053923,-1860.9706879285823,-1291.862773891151
-1471.4899216321426,-1438.2314646040486,-1821.6776452464205,-1486.5837121270306
-1436.9883408901164,-1655.6701111196498,-1716.4134134559044,-1495.420127095846
-1445.6017520783748,-1826.3636494857378,-1783.4844545168546,-1641.7142090446641
-1452.5731850491757,-1792.451725814504,-1764.8539012730037,-1483.3938560040197
-1222.1590292633314,-1598.100132947748,-1840.9545933756822,-1559.5439648771442
-1618.536547683965,-1757.8853025155472,-1861.5590934345896,-1398.422215027061
-1425.9921706256457,-1339.2236146698654,-1982.7968509092404,-1419.0249450338767
-1433.5691904119542,-1645.5414358478465,-1797.6615444143795,-1485.9167973427177
-1496.610066340008,-1679.5003950554885,-1630.2760315372188,-1445.2994244412084
-1406.4281446497037,-1778.2926300889667,-1771.1096069667778,-1480.6026996574242
-1315.6166306926148,-1643.9514918886703,-1657.5721492137009,-1240.4015783941836
-1450.4002455841282,-1554.0266255933197,-1931.7182664938764,-1215.0257899653739
-1498.5102786182429,-1597.253240780581,-1679.4937966613857,-1511.3916857945487
-1614.3805965240608,-1640.203919773728,-1919.2493256641803,-1399.7022850950366
-1090.1931463196004,-1565.6047126678252,-1611.135455471746,-1262.793670673108
-1449.601709121893,-1581.999977831027,-1448.024869263546,-1340.1670781565283
-1404.212359022441,-1523.5136289944935,-1704.9719319701276,-1488.0022951112624
-1448.3029143458366,-1466.8581868944775,-1953.904003760727,-1365.8792587582539
-1335.0360039800044,-1869.3079911384825,-1785.578315122381,-1469.866136060931
-1446.5449949024592,-1462.0464708185673,-1659.363892421223,-1465.3304118161486
-1459.9207354142416,-1562.3932060752345,-1796.36474621143,-1430.9611506542215
-1483.7656618057358,-1629.7504117099338,-1929.4545893150305,-1218.6014228187535
-1403.0162038313015,-1781.5627903264644,-1797.9043004880625,-1416.1691935060592
-1181.1808489294078,-1562.3767448543817,-1683.1724802805763,-1409.8247397294977
-1297.624094954703,-1682.4558278128643,-1672.9028409486311,-1482.1435251831667
-1422.5329302117252,-1598.160647049687,-1666.9778854650315,-1400.254718517919
-1393.3546732731056,-1607.5795869025328,-1902.4962162428333,-1362.7276943384968
-1425.7425641792447,-1529.3738005625082,-1656.423034058492,-1452.16799683736
-1444.5259518784565,-1613.1737621660427,-1677.3431685395626,-1468.7534405645333
-1362.7444202847435,-1657.6624373722934,-1827.703082667168,-1350.5071209100022
-1484.7718429583779,-1585.6996015596862,-1584.6560045204858,-1318.6549015880826
-1455.4170527337737,-1579.6826931174046,-1980.3746318071387,-1387.8852002984804
-1222.3547719350686,-1696.175780694721,-1813.527484254614,-1381.7364805883444
-1432.798379366402,-1459.3284918606544,-1378.2611312383335,-1414.8051408980396
-1305.8599175131762,-1514.9014907701453,-1684.6307920415409,-1397.329481867612
-1539.7403646720604,-1701.4954606781405,-1668.7156036579768,-1290.6930175650414
-1473.322942265532,-1597.7350064595025,-1694.1711420636207,-1516.378658401843
